ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
452,58,34,151,94022,3,0.6,2,0,1,0,0,0,0
453,54,30,133,95747,1,5,2,0,1,0,0,0,1
454,32,7,81,90601,2,3.4,2,0,1,0,0,0,1
455,45,21,102,92037,4,4.7,2,81,1,0,0,0,0
456,27,1,134,93106,1,1.7,2,307,1,0,0,1,0
457,27,1,130,94801,3,2.9,2,0,1,0,0,0,0
458,32,8,142,90095,4,6.2,2,120,1,0,1,1,1
459,65,40,143,95616,4,6.6,2,0,1,0,0,1,0
460,38,12,184,91311,3,8,1,0,1,0,0,1,0
461,33,7,188,95054,2,7,2,581,1,0,0,0,0
462,48,22,162,94143,3,1.4,1,400,1,0,0,0,0
463,35,5,108,90630,2,2.75,3,0,1,1,0,0,0
464,61,37,141,92677,3,0.7,1,0,1,0,1,1,1
465,32,8,140,94102,4,6.6,3,0,1,0,1,0,1
466,51,25,173,95051,1,0.5,2,0,1,0,0,1,0
467,35,11,101,94143,3,3.8,3,150,1,0,0,1,0
468,36,12,123,90502,2,3,3,0,1,0,0,0,0
469,29,4,184,92126,4,2.2,3,612,1,0,0,1,0
470,46,21,115,95616,2,4.2,3,0,1,1,1,1,1
471,49,23,174,95449,3,4.6,2,590,1,0,0,0,0
472,35,10,135,94596,3,4.8,2,0,1,0,0,1,0
473,34,8,165,91107,1,7,3,541,1,0,0,0,0
474,50,24,133,90025,4,1.4,2,342,1,0,0,0,1
475,44,19,142,95054,1,1.5,3,0,1,0,0,0,0
476,38,13,129,92646,3,4.1,3,0,1,0,1,1,1
477,43,19,121,94720,1,0.7,2,0,1,0,1,1,1
478,28,4,112,90049,2,1.6,2,0,1,0,0,1,0
479,46,20,122,90065,3,3,3,0,1,0,1,1,1
480,29,5,135,95762,3,5.3,1,0,1,0,1,1,1
